From,To,Weight
1,2,0.043
1,3,0.353
1,4,0.353
1,5,0.353
1,6,0.438
1,7,0.048
1,8,0
1,9,0.375
1,10,0
1,11,0.05
1,12,0.375
1,13,0.333
2,14,0.438
2,15,0
2,7,0.571
2,16,0.438
2,17,0.438
2,18,0
2,19,0.438
2,20,0
2,21,0.467
2,22,0.467
2,23,0.438
3,37,0
3,4,0.467
3,5,0.375
3,6,0.375
3,46,0.053
3,9,0.4
3,47,0.048
3,12,0.4
3,13,0.353
3,48,0.05
4,5,0.375
4,60,0.158
4,6,0.467
4,9,0.5
4,32,0
4,12,0.4
4,13,0.353
4,48,0.105
5,71,0
5,6,0.375
5,75,0
5,9,0.5
5,83,0.095
5,43,0
5,12,0.4
5,13,0.438
6,9,0.4
6,64,0.1
6,11,0.053
6,12,0.4
6,13,0.353
6,66,0.048
7,16,0.5
7,17,0.5
7,19,0.5
7,21,0.538
7,22,0.538
7,23,0.5
8,96,0.1
8,56,0.375
8,97,0.375
8,81,0
8,98,0.5
8,20,0.4
9,83,0.1
9,12,0.429
9,13,0.467
10,103,0
10,99,0.222
10,86,0.294
10,88,0.4
10,89,0.312
12,13,0.375
13,82,0.045
14,7,0.5
14,16,0.467
14,17,0.467
14,104,0
14,19,0.467
14,21,0.5
14,22,0.5
14,36,0
14,23,0.467
15,105,0.4
15,85,0.294
15,106,0.053
15,10,0.294
15,99,0.294
15,101,0.294
15,87,0.312
15,88,0.235
16,17,0.467
16,107,0.048
16,19,0.467
16,87,0
16,21,0.5
16,22,0.615
16,23,0.467
17,85,0.048
17,19,0.467
17,21,0.5
17,22,0.615
17,23,0.467
18,100,0.333
18,112,0.312
18,108,0.312
18,81,0.312
18,113,0.25
19,80,0
19,21,0.5
19,22,0.5
19,23,0.467
21,22,0.538
21,23,0.5
22,23,0.5
24,25,0.091
24,26,0.263
24,27,0.278
24,28,0.048
24,29,0.333
24,30,0.278
24,31,0.353
24,32,0.353
24,33,0.095
24,34,0.095
24,35,0.278
24,36,0.278
25,37,0.263
25,38,0.048
25,39,0
25,40,0.278
25,41,0.375
25,42,0
25,33,0.353
25,34,0.438
25,43,0.211
25,44,0.211
25,45,0.222
26,53,0
26,54,0.278
26,55,0.278
26,30,0.353
26,56,0
26,42,0
26,31,0.278
26,32,0.353
26,57,0
26,35,0.278
26,36,0.278
27,29,0.353
27,54,0.294
27,55,0.294
27,17,0
27,31,0.294
27,32,0.294
27,35,0.294
27,36,0.375
27,77,0
28,29,0.048
28,39,0.25
28,75,0.4
28,76,0.235
28,78,0.176
28,79,0.176
28,57,0.357
28,80,0.176
29,54,0.278
29,55,0.353
29,30,0.278
29,31,0.278
29,61,0
29,81,0.045
29,35,0.278
29,36,0.353
29,82,0
30,31,0.294
30,93,0
30,32,0.294
30,35,0.375
31,32,0.294
31,79,0
31,36,0.375
32,35,0.294
32,36,0.294
32,66,0
33,34,0.375
33,43,0.222
33,45,0.4
33,13,0
33,52,0.235
34,65,0
34,44,0.222
34,45,0.312
35,45,0
37,49,0.375
37,38,0.222
