From,To,Weight
1,2,0.389
1,3,0.238
1,4,0.294
1,5,0.118
1,6,0.111
1,7,0.111
1,8,0.176
1,9,0.05
1,11,0.118
1,12,0
1,13,0.059
1,14,0.167
1,18,0.059
1,20,0.056
1,22,0.059
1,32,0
2,3,0.267
2,4,0.364
2,8,0.3
2,14,0.273
2,18,0.1
2,20,0.091
2,22,0.1
2,31,0
3,4,0.333
3,8,0.273
3,9,0.154
3,10,0
3,14,0.25
3,28,0
3,29,0
3,33,0.048
4,8,0.429
4,13,0.143
4,14,0.375
5,7,0.167
5,11,0.2
6,7,0.333
6,11,0.167
6,17,0.2
7,17,0.2
9,31,0.286
9,33,0.214
9,34,0.1
10,34,0
14,34,0
20,34,0
24,26,0
24,28,0.125
24,30,0.286
24,33,0.133
24,34,0.158
26,32,0.125
25,26,0.2
25,28,0
25,32,0.125
28,34,0.05
29,32,0.125
29,34,0.053
30,33,0.143
30,34,0.167
27,30,0.2
27,34,0.056
31,33,0.143
31,34,0.105
32,33,0.059
32,34,0.095
33,34,0.526
15,33,0.077
15,34,0.056
16,33,0.077
16,34,0.056
19,33,0.077
19,34,0.056
21,33,0.077
21,34,0.056
23,33,0.077
23,34,0.056
